EQTYPE,FREQBAND,LOWERMOD,BANDWITDH,PTX,PTH,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
29,6L,4,7,26,-84.5,,,,,,,,
29,6L,4,14,26,-81.5,,,,,,,,
29,6L,4,28,26,-79.5,,,,,,,,
29,6L,4,56,26,-77.0,,,,,,,,
29,6L,6,7,26,-81.5,,,,,,,,
29,6L,6,14,26,-79.0,,,,,,,,
29,6L,6,28,26,-76.0,,,,,,,,
29,6L,6,56,26,-74.0,,,,,,,,
29,6L,7,7,25,-79.0,,,,,,,,
29,6L,7,14,25,-76.0,,,,,,,,
29,6L,7,28,25,-73.0,,,,,,,,
29,6L,7,56,25,-71.0,,,,,,,,
29,6L,8,7,25,-76.0,,,,,,,,
29,6L,8,14,25,-72.5,,,,,,,,
29,6L,8,28,25,-70.0,,,,,,,,
29,6L,8,56,25,-68.0,,,,,,,,
29,6L,9,7,24,-73.0,,,,,,,,
29,6L,9,14,24,-69.5,,,,,,,,
29,6L,9,28,24,-67.0,,,,,,,,
29,6L,9,56,24,-65.0,,,,,,,,
29,6L,10,7,24,-70.0,,,,,,,,
29,6L,10,14,24,-66.5,,,,,,,,
29,6L,10,28,24,-64.0,,,,,,,,
29,6L,10,56,24,-62.0,,,,,,,,
29,6L,11,7,23,-66.5,,,,,,,,
29,6L,11,14,23,-63.5,,,,,,,,
29,6L,11,28,23,-60.5,,,,,,,,
29,6L,11,56,23,-58.5,,,,,,,,
29,6L,12,14,23,-61.5,,,,,,,,
29,6L,12,28,23,-58.5,,,,,,,,
29,6L,12,56,23,-56.5,,,,,,,,
29,6U,1,7,29,-92.0,,,,,,,,
29,6U,1,14,29,-89.5,,,,,,,,
29,6U,1,28,29,-86.5,,,,,,,,
29,6U,1,56,29,-84.0,,,,,,,,
29,6U,2,7,29,-90.0,,,,,,,,
29,6U,2,14,29,-88.0,,,,,,,,
29,6U,2,28,29,-85.0,,,,,,,,
29,6U,2,56,29,-82.5,,,,,,,,
29,6U,5,7,26,-86.0,,,,,,,,
29,6U,5,14,26,-83.5,,,,,,,,
29,6U,5,28,26,-80.5,,,,,,,,
29,6U,5,56,26,-78.0,,,,,,,,
29,6U,4,7,26,-84.5,,,,,,,,
29,6U,4,14,26,-81.5,,,,,,,,
29,6U,4,28,26,-79.5,,,,,,,,
29,6U,4,56,26,-77.0,,,,,,,,
29,6U,6,7,26,-81.5,,,,,,,,
29,6U,6,14,26,-79.0,,,,,,,,
29,6U,6,28,26,-76.0,,,,,,,,
29,6U,6,56,26,-74.0,,,,,,,,
29,6U,7,7,25,-79.0,,,,,,,,
29,6U,7,14,25,-76.0,,,,,,,,
29,6U,7,28,25,-73.0,,,,,,,,
29,6U,7,40,25,-72.5,,,,,,,,
29,6U,7,56,25,-71.0,,,,,,,,
29,6U,8,7,25,-76.0,,,,,,,,
29,6U,8,14,25,-72.5,,,,,,,,
29,6U,8,28,25,-70.0,,,,,,,,
29,6U,8,40,25,-69.5,,,,,,,,
29,6U,8,56,25,-68.0,,,,,,,,
29,6U,9,7,24,-73.0,,,,,,,,
29,6U,9,14,24,-69.5,,,,,,,,
29,6U,9,28,24,-67.0,,,,,,,,
29,6U,9,40,24,-66.0,,,,,,,,
29,6U,9,56,24,-65.0,,,,,,,,
29,6U,10,7,24,-70.0,,,,,,,,
29,6U,10,14,24,-66.5,,,,,,,,
29,6U,10,28,24,-64.0,,,,,,,,
29,6U,10,40,24,-63.0,,,,,,,,
